Town,Town Key,Current ECS Entitlement,% of Total,Percent Increase,Enhanced Education Funding,New Total Funding (ECS + EEF),District Numbers,District Labels,District Count,Needs Review
Old Saybrook,oldsaybrook,132244,0.01,14.861165723964792,19653,151897,23,23rd District,1,no
Orange,orange,1015498,0.04,14.861279884352307,150916,1166414,119,119th District,1,no
Oxford,oxford,3677011,0.15,14.861282710331844,546451,4223462,131,131st District,1,no
Plainfield,plainfield,15364444,0.63,14.861286226823436,2283354,17647798,44; 47,44th District; 47th District,2,no
Plainville,plainville,12740359,0.52,14.861284521103368,1893381,14633740,,,0,yes
Plymouth,plymouth,9802121,0.4,14.861283593622238,1456721,11258842,78,78th District,1,no
Pomfret,pomfret,2670987,0.11,14.861285360056039,396943,3067930,,,0,yes
Portland,portland,4979837,0.2,14.861289636588507,740068,5719905,32,32nd District,1,no
Preston,preston,2952496,0.12,14.861290243915656,438779,3391275,45,45th District,1,no
Prospect,prospect,5836389,0.24,14.861278095068714,867362,6703751,89,89th District,1,no
Putnam,putnam,8340282,0.34,14.861284066893662,1239473,9579755,51,51st District,1,no
Redding,redding,280477,0.01,14.861111606299268,41682,322159,,,0,yes
Ridgefield,ridgefield,568700,0.02,14.86126252857394,84516,653216,,,0,yes
Rocky Hill,rockyhill,8574212,0.35,14.861284045694228,1274238,9848450,,,0,yes
Roxbury,roxbury,219447,0.01,14.861447183146728,32613,252060,69,69th District,1,no
Salem,salem,2525078,0.1,14.861283493024771,375259,2900337,34,34th District,1,no
Salisbury,salisbury,72338,0,14.860792391274297,10750,83088,,,0,yes
Scotland,scotland,1274671,0.05,14.861325000725678,189433,1464104,47,47th District,1,no
Seymour,seymour,11911359,0.48,14.861284929788448,1770181,13681540,105,105th District,1,no
Sharon,sharon,29987,0,14.85977256811285,4456,34443,,,0,yes
Shelton,shelton,9087506,0.37,14.861283172742883,1350520,10438026,122,122nd District,1,no
Sherman,sherman,46995,0,14.861155442068306,6984,53979,108,108th District,1,no
Simsbury,simsbury,8273772,0.34,14.861286968023773,1229589,9503361,,,0,yes
Somers,somers,5692630,0.23,14.86128555693941,845998,6538628,52,52nd District,1,no
Southbury,southbury,8158182,0.33,14.861288948934948,1212411,9370593,69; 131,69th District; 131st District,2,no
Southington,southington,20848374,0.85,14.861283666534378,3098336,23946710,30; 80,30th District; 80th District,2,no
South Windsor,southwindsor,11408078,0.46,14.861285134971903,1695387,13103465,,,0,yes
Sprague,sprague,2706745,0.11,14.861281723989514,402257,3109002,47,47th District,1,no
Stafford,stafford,9551487,0.39,14.861288090535012,1419474,10970961,52,52nd District,1,no
Stamford,stamford,22003161,0.9,14.861287430474194,3269953,25273114,125; 149,125th District; 149th District,2,no
Sterling,sterling,3174585,0.13,14.861281080834187,471784,3646369,44,44th District,1,no
Stonington,stonington,1073011,0.04,14.861264236806518,159463,1232474,43,43rd District,1,no
Stratford,stratford,30304368,1.23,14.861286663361534,4503619,34807987,122,122nd District,1,no
Suffield,suffield,6163712,0.25,14.861288132865392,916007,7079719,61,61st District,1,no
Thomaston,thomaston,5481226,0.22,14.861291981027602,814581,6295807,76,76th District,1,no
Thompson,thompson,7534704,0.31,14.861287185269653,1119754,8654458,51,51st District,1,no
